STATE,DISTRICT,STATION_NUM,STATION,Latitude,Longtitude,Lat_SPEI,Lon_SPEI,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21
ANDHRA PRADESH,ANANTAPUR,598,Yellanur-GW,14.7,78.1,14.75,78,0.148,1.049,0.148,-0.629,-1.352,-1.049,-0.821,-0.629,-1.049,-1.352,-1.049,-0.821,-0.299,-0.458,0.458,0.629,0,0.821,0.629,0.821,0.821,0.821,0.821,0.821,0.821,0.629,0,0,-0.148,-0.148,-0.458,-0.458,-0.629,-0.148,-0.629,0.458,1.89,1.352,1.352,1.89,1.89,1.89,1.049,1.352,1.89,1.352,1.352,1.352,1.352,0.821,1.049,1.049,0.458,0.629,0.299,0.458,0.148,0.458,0.299,0,-0.458,-0.629,-0.629,0.148,0.148,0,0,-0.299,-0.299,0,-0.148,-0.458,-0.629,0.458,0.629,-0.148,0.299,1.049,0.458,0.629,0.299,0.629,-0.458,-0.148,0.458,0.148,1.89,0.821,0.821,0.299,0.821,0.299,0.458,0.148,0.458,0.148,-0.148,-0.148,-0.299,-1.049,-0.458,-0.299,-0.629,-0.821,-0.821,-1.049,-1.89,-1.352,-1.352,-0.821,-0.821,-0.299,0.629,0.148,-0.299,-1.049,-0.458,-0.458,-0.821,-0.629,-1.049,-1.352,-0.458,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.89,-1.89,-1.89,-1.89,0.458,1.352,0.458,0.148,0,0,-0.629,-0.299,-0.299,0,1.89,0.821,-0.458,-0.629,-1.352,-1.352,-1.352,-1.352,-0.299,0,0.299,0.629,-0.299,-0.148,-0.821,-0.821,-0.629,-1.049,0.148,1.049,0.299,0.629,0.629,0.299,0.299,-1.049,-1.352,-1.049,-0.821,-0.148,-0.148,-0.148,-0.821,0.148,-1.049,-0.821,-1.049,-1.352,0.299,1.049,1.352,1.352,1.049,0.629,1.049,1.049,1.049,1.049,0,0.299,1.352,-0.299,-0.458,1.89,1.89,1.352,1.89,1.89,1.89
ANDHRA PRADESH,ANANTAPUR,648,Thimmampalli-GW,14.6,78,14.5,78,-0.148,0.629,0.148,-0.299,0,0,-0.148,-0.148,-0.148,-0.148,0.148,-0.299,0.458,-0.299,0.299,0,-0.299,0.629,0.821,0.821,0.458,0.299,0.821,0.821,0.148,0.299,0,-0.148,0.148,0.299,0,0,0,0,-0.299,-0.148,1.89,1.049,0.821,1.89,1.89,1.89,1.352,1.352,1.352,1.049,1.352,1.352,0.629,1.89,0.458,1.049,1.352,1.352,1.049,1.049,1.049,0.821,1.049,1.049,1.049,0.148,0.629,0.458,0.299,0.458,0.629,0.629,0.821,0.458,0.458,0.629,0.821,0.821,1.89,0.148,-0.148,1.049,0.458,0.458,0.629,0.629,0.629,0.299,1.352,0.458,1.049,0.821,1.049,0.148,0.148,0.299,0.148,-0.629,0,-0.458,-0.458,0,-0.148,-0.458,-0.458,-0.458,-0.629,-0.629,-0.629,-1.049,-0.821,-0.821,-1.049,-0.821,-0.821,-0.629,-0.629,-0.821,-0.821,-1.049,-1.049,-1.352,-1.049,-1.352,-0.629,-1.049,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.89,-1.352,-1.352,-1.049,0.629,0.629,-0.299,-0.458,-0.821,-0.821,-0.821,-0.629,-0.629,-0.821,-0.629,-0.629,-1.049,-1.049,-1.049,-1.352,-1.352,-1.352,1.352,-1.89,-1.049,-1.89,-1.89,-1.352,-1.352,-1.352,-1.352,-1.049,-0.458,-0.458,-0.458,-0.458,0.148,-0.299,-0.148,-0.299,-0.821,-0.821,-0.629,-0.299,-0.299,-0.299,-0.299,-0.148,0,0,-0.458,-0.458,0.299,0.458,-0.148,0.299,0.148,0.299,0.148,0.299,0.458,0.299,1.352,1.352,1.352,0.821,0.821,1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,ANANTAPUR,752,Obulapuram-1-GW,15,76.9,15,77,-0.299,-0.458,-0.299,-0.458,-0.629,-0.629,-0.821,-1.049,-1.049,-1.049,-0.821,-1.352,-1.049,-0.629,-1.049,-0.148,-0.299,-0.299,-0.458,-0.629,-0.458,-0.629,-0.458,-0.629,-0.458,-0.299,-0.148,-0.629,-0.821,-0.821,-0.629,-0.821,-0.821,-0.821,-1.049,-1.049,-0.821,-0.821,-0.629,0,0,0.629,0.629,0.458,0.148,0.299,0.299,0.299,0.458,0.629,0.629,0.629,0.629,0.458,0.148,0.299,0.299,0.148,0.148,0.148,0.148,0.458,0.458,0.458,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.049,0.821,0.821,0.458,0.629,0.629,0.458,0.458,1.049,1.049,1.049,1.049,1.352,1.049,1.049,1.049,1.049,1.049,1.049,1.049,0.821,0.821,0.821,0.821,0.299,0.299,0.148,-0.148,0,0,0,-0.148,-0.148,0.299,0.299,0.148,0.148,-0.148,-0.148,-0.299,-0.299,-0.148,-0.148,0,-0.299,0,0.148,0,-0.299,0.458,0,0,-0.458,-0.629,-0.299,-0.299,-0.458,-0.148,-0.148,-0.458,-0.821,-1.049,-1.049,-1.049,-1.352,-1.352,-1.89,-1.89,0,-1.89,-1.89,-0.821,-1.89,-1.89,-1.89,-1.89,-0.148,-0.299,-0.458,-0.629,-0.821,-0.629,-1.049,-1.89,-1.352,-1.352,-1.352,-1.352,-1.89,-1.89,-1.352,-1.352,-1.89,-1.352,-1.352,-1.352,-1.049,0.148,0.299,0.821,0.821,0.821,0.629,0.821,0.629,0.629,0,0.299,0.821,-0.458,-0.458,0.299,0.148,0.458,0.821,0.629,0.458
ANDHRA PRADESH,ANANTAPUR,815,Kalasamudram-GW,14.2,78.1,14.25,78,0,0.299,-0.148,-0.458,-0.821,-1.049,-1.352,-1.049,-1.352,-1.049,-1.049,-1.049,-1.049,-1.049,-0.629,-0.299,0.148,0.821,0.629,1.049,1.352,1.89,1.352,1.352,1.352,0.821,0.629,0,-0.148,-0.299,-0.629,-0.629,-0.629,-0.821,-0.821,-0.821,-0.629,0,0,0.458,1.049,0.629,0.458,0.629,0.629,0.629,0.299,0.148,0.148,-0.148,-0.458,-0.148,0.299,0,1.049,0.458,0.821,1.049,1.89,0.821,1.89,0.629,1.352,0.821,0.821,1.352,1.352,1.352,1.049,0.458,0.821,1.89,1.049,1.049,1.049,1.049,1.352,1.89,1.89,1.89,1.89,1.352,1.049,1.049,0.821,0.458,1.89,1.89,0.629,0.458,0,0.148,0.299,0.148,0,0,-0.148,0.148,0.458,0.629,0.458,0.148,0.299,-0.148,-0.148,-0.299,-0.299,-0.148,0.629,1.352,0.821,1.352,1.89,1.049,0.821,0.821,0.458,0.821,0.629,0.629,-0.299,-0.299,-0.299,-0.629,-0.629,-0.629,-0.821,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,0.299,-0.148,0.299,0.148,0.299,0.458,0.458,0.458,1.89,0.299,0.299,0,-0.458,-0.458,-0.821,-1.049,-1.352,-1.352,-1.352,-1.352,-1.352,-1.049,-1.352,-1.89,-1.89,-1.89,-0.458,-0.458,-0.148,-0.148,-0.299,0.299,-0.629,-0.821,-0.821,-0.458,-0.821,-1.049,-1.89,-0.821,-0.629,-0.629,-0.629,-0.821,-0.821,-1.352,-1.049,-0.299,-0.148,-0.299,-0.299,-0.299,-0.458,-0.458,-0.458,-0.458,-0.458,0.148,0.148,-1.049,-1.352,0.148,0,0,0,0.148,0.299
ANDHRA PRADESH,ANANTAPUR,850,Tadimarri-3-GW,14.6,77.9,14.5,78,-1.352,-0.299,-0.821,-1.352,-1.049,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-0.299,-0.458,0,0,-0.148,-0.299,-0.299,0,-0.148,-0.458,-0.299,-1.89,-1.049,-0.629,-0.629,-0.458,-0.458,-0.629,-0.629,-0.821,-1.049,-1.352,-0.148,0.148,0.458,0.299,0.629,0.821,0.629,0.629,0.821,0.821,0.821,0.821,1.049,1.049,0.821,1.352,1.049,1.049,1.049,0.821,0.629,0.629,0.458,0.458,0.629,0.629,0.629,0.458,0.458,0.458,0.299,0.299,0.299,0.299,-1.352,-0.148,0.458,0.821,1.049,0.629,0.299,0.299,0.148,0,0,0.148,0.299,0.148,0.148,0,0,-0.148,-0.458,-0.629,-0.629,-0.458,-0.458,-0.458,-0.299,-0.299,-0.458,-0.458,-0.458,-1.049,-1.352,-0.821,-0.821,-0.821,-1.352,-1.352,-0.821,-1.049,-1.049,-0.821,-1.89,-0.821,-0.821,-1.049,-1.352,-1.049,-0.821,-1.049,-0.458,-0.629,-0.629,-0.629,-1.352,-1.89,-1.89,-1.352,-1.049,-1.352,-1.049,-0.629,-0.629,-0.821,-0.821,-1.049,-0.629,-0.299,-0.299,0.148,0.458,0.148,0.148,-0.148,0,0,0.299,0.458,0.299,0.148,0.148,-0.148,0,-0.148,-0.148,-0.299,0.148,0.299,0,-0.148,-0.148,0,-0.148,-0.299,-0.299,1.049,1.049,1.049,1.049,1.352,1.89,1.352,1.352,1.89,0.821,0.629,0.821,0.458,0.458,0.458,0.629,0.629,0.821,0.299,0.148,0.821,1.89,1.89,1.352,1.352,1.352,1.352,1.352,1.049,1.352,1.89,1.89,1.049,1.352,1.352,1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,ANANTAPUR,903,Gangavaram-2-GW,14.7,77.2,14.5,77.25,0.148,0.458,0.299,0.299,0,-0.458,-0.821,-0.821,-0.821,-0.821,-0.821,-0.821,-0.821,-1.049,-0.629,0,-0.148,-0.148,-0.299,-0.458,-0.458,-0.299,-0.629,-0.629,-0.629,-0.821,-0.821,-1.049,-1.352,-1.049,-0.629,-1.049,-1.049,-1.049,-1.049,-1.049,-1.049,-0.629,-0.458,-0.458,-0.299,0.821,-0.458,-0.629,-0.629,-0.458,-0.148,-0.148,-0.148,0,0.458,0.629,0.629,0.458,0.821,0.821,0.821,0.629,0.629,0.821,0.821,0.821,0.821,0.821,1.049,1.352,1.352,1.352,1.352,1.049,1.049,1.352,1.352,1.352,1.352,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.352,1.352,1.049,1.049,1.049,1.049,0.821,0.821,1.049,1.049,1.049,1.049,1.049,0.821,0.629,0.458,0.458,0.629,0,-0.299,0,0.299,0.629,0.629,0.458,0.458,0.148,0.148,-0.299,-0.299,-0.629,-0.458,-0.458,-0.458,-0.148,-0.299,0.148,-0.458,0,-0.148,0.299,0,1.352,1.352,-0.299,-0.299,-0.458,-1.049,-0.821,0.299,0.299,0.629,0.629,0.458,0.299,0,0.148,0,0.148,-0.148,-0.299,-1.049,-1.352,-1.049,-1.89,-1.89,-1.89,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-0.148,0.148,0.148,0.148,0.299,0.458,0.299,0.148,-0.629,-0.821,-0.821,-1.352,-1.352,-1.352,-1.352,-1.89,-1.89,-1.352,-1.352,-1.352,-1.352,0.148,-0.299,0,0.148,-0.148,-0.148,0.458,0.629,0.629,-0.299,0,-0.148,-0.629,-0.629,0.299,0,0.299,0.458,0.299,0.458
ANDHRA PRADESH,ANANTAPUR,984,Roddam-GW,14.1,77.4,14,77.5,0,0,0.299,0.148,0.148,0,-0.458,-0.629,-0.458,-0.458,-0.458,-0.299,-0.299,-0.148,0.148,-0.148,-0.299,-0.299,-0.148,-0.299,0,-0.148,-0.148,-0.148,-0.148,-0.299,-0.299,-0.458,-0.458,-0.629,-0.821,-1.049,-1.049,-0.821,-0.821,-0.821,-0.821,-0.821,-0.821,-0.821,-0.629,-0.458,-0.629,-0.458,-0.629,-0.629,-0.299,-0.458,-0.458,-0.629,-0.629,0.629,0.821,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.352,1.352,1.352,1.049,0.821,0.821,0.821,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.458,0.458,0.629,0.458,0.299,0.458,0.458,0.299,0.148,0.299,0.148,-0.148,-0.299,0.299,0.458,0.629,0.629,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.629,0.299,0.148,0.148,0.148,0.148,0,0,0.148,0.299,0,0,0,0.148,0.299,0.458,0.299,0.299,0.148,0.299,0.458,0.458,0.458,0.299,-0.148,-0.148,-0.299,-0.821,-0.821,-1.049,-1.049,-1.049,-1.049,-1.049,-1.352,-1.352,-1.049,-1.049,-1.352,-0.148,-0.299,-0.299,-0.629,-0.629,-0.629,-0.458,-0.458,-0.629,-0.821,-0.821,-1.049,-1.352,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.352,-1.352,-1.352,-1.049,-1.049,-1.352,-1.352,0,0,-0.148,0,0.458,0.458
ANDHRA PRADESH,ANANTAPUR,1111,Gutturu-GW,14.2,77.6,14.25,77.5,-1.049,-0.821,-1.049,-1.352,-1.352,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-0.821,-0.821,-1.049,0,0.148,0.299,0.299,0,0.148,0.148,0.148,0,-0.148,-0.458,-0.821,-1.049,-1.049,-1.352,-1.352,-1.352,-1.352,-1.352,-1.352,-1.049,-1.352,-1.049,0,-0.148,-0.148,0.148,0,0.148,0.299,0.299,0.299,0.299,0.148,0.458,1.352,1.352,1.352,1.049,1.049,0.821,1.049,0.821,1.352,1.049,1.049,1.352,1.049,0.821,0.629,0.821,0.629,0.629,0.629,0.629,1.049,1.352,1.352,0.629,0.299,1.049,0.821,1.352,1.352,1.352,0.821,1.049,0.821,0.821,0.821,0.821,0.458,0.148,0,-0.299,-0.458,-0.299,-0.629,-0.629,-0.299,-0.299,-0.458,-0.148,-0.148,0.299,0.299,0,0.148,-0.148,0,-0.299,-0.148,-0.148,-0.299,1.049,1.89,1.89,1.049,0.629,0.458,0.458,0.458,0.458,0.629,0.629,0.629,0,-0.299,-0.458,-0.458,-0.458,-0.629,-0.629,-0.148,0,0.458,0.458,0.458,0.148,0.148,-0.299,-0.299,-0.148,-0.148,-0.458,-0.458,-0.458,0,0.148,0,-0.299,-0.629,-0.821,-0.821,-0.821,-0.299,0.299,-1.049,-1.049,-0.821,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.049,-0.821,-1.049,-0.821,-0.821,-0.458,-0.458,-0.629,-0.629,-0.458,-0.629,-0.629,-0.629,-1.049,-0.821,-0.299,-0.148,-0.629,-0.629,0.299,0.299,0.821,0.629,0.458,0.458,0.821,1.049,1.352,1.352,1.89,1.89,1.89,1.89,0.629,0.458,1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,ANANTAPUR,1148,Ramagiri-GW,14.3,77.5,14.25,77.5,-0.821,-0.458,-0.148,0.148,0.148,-0.148,-0.458,-0.629,-0.458,-0.458,-0.629,-0.629,-1.352,-1.352,-0.629,0.299,-0.148,0.148,0,-0.299,-0.299,0.148,-0.458,-0.458,0,0.148,-0.299,-0.821,-0.821,-0.299,-0.629,-0.821,-0.821,-0.821,-0.821,-1.049,-0.458,-1.049,-0.458,-0.148,0.821,1.352,1.352,1.049,1.352,1.352,1.352,1.049,1.89,1.89,1.89,1.352,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.352,1.352,0.629,1.352,0.458,0.299,0,-0.148,-0.148,-0.148,0.299,0.299,-0.148,0.821,1.049,0.629,-0.299,0,0.458,0.299,0.148,0,0.458,0.148,1.89,-0.629,-0.148,0.458,-0.629,-1.049,-0.821,-0.821,-1.049,-1.352,-1.049,-1.049,0.299,0.148,-0.299,0.299,0,0.629,0.629,0.629,0,0.148,-0.148,-0.299,-0.299,-0.148,-0.821,-0.821,1.89,1.049,1.049,0.821,0.299,0.458,0.629,0.458,0.148,-0.299,-0.629,-1.049,-1.049,-0.458,-0.458,-0.299,-0.458,-0.629,-0.629,0,0,1.049,1.352,0.148,0.821,1.352,0.821,1.049,0.629,0.299,-0.299,-0.148,-0.821,0.458,0,-1.352,-1.352,-1.352,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,0.458,1.049,0.821,0.629,0.821,0.299,0.458,0,-0.458,-0.299,-1.049,-1.049,-1.352,-1.049,-1.352,-1.352,-1.352,-1.049,0.821,0.821,0.629,0.458,0.299,0.458,0.821,0.821,0,0.821,0.629,0.629,0.299,1.049,1.049,-0.629,-0.629,0.148,1.352,0.629,1.049,1.049,0.458
ANDHRA PRADESH,KURNOOL,64,Alamuru-1-Shal-GW,15.2,78.6,15.25,78.5,-0.457851931,0,-0.14798711,0,-0.14798711,-1.049131398,-0.820792088,-0.820792088,-0.628904218,-0.628904218,-0.457851931,-0.820792088,-0.628904218,-0.457851931,-0.628904218,-0.628904218,-0.820792088,0.14798711,0,0,-0.29930691,-0.14798711,-0.14798711,-0.29930691,0,-0.14798711,-0.29930691,-0.820792088,-0.457851931,-0.457851931,-0.457851931,-0.14798711,-0.14798711,-0.29930691,0,0,1.88950996,1.88950996,1.88950996,1.88950996,1.88950996,1.049131398,0.820792088,1.049131398,1.049131398,1.049131398,0.820792088,0.820792088,0.628904218,0.457851931,0.457851931,0.14798711,0.29930691,-0.29930691,0.457851931,0.457851931,0.29930691,0,0.14798711,0.14798711,0.29930691,-0.29930691,-0.457851931,-0.457851931,0.14798711,0.29930691,-0.29930691,0.820792088,0,0.29930691,0.29930691,0.628904218,1.35170224,1.049131398,0.820792088,1.35170224,0.820792088,1.35170224,1.049131398,1.35170224,1.35170224,1.35170224,1.35170224,1.049131398,1.049131398,0.820792088,1.35170224,1.049131398,0.628904218,0.457851931,0.628904218,0.29930691,0.628904218,0.628904218,0.628904218,0.29930691,0.14798711,0.628904218,0.628904218,0.457851931,-0.29930691,-0.628904218,-0.628904218,-0.29930691,-1.35170224,-1.35170224,-1.88950996,-1.88950996,-0.29930691,0.14798711,0.29930691,0.29930691,1.049131398,0.820792088,0.29930691,0.14798711,0.457851931,0.14798711,0.457851931,0.457851931,0.457851931,0.29930691,-0.820792088,-1.049131398,-1.049131398,0.628904218,0.14798711,-0.628904218,0.14798711,0.457851931,-0.29930691,-0.14798711,-0.14798711,-1.049131398,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-0.628904218,-1.35170224,-0.820792088,-0.628904218,0.14798711,0.820792088,0,-0.14798711,-0.14798711,-1.35170224,-0.820792088,-0.820792088,-0.820792088,-0.628904218,-1.049131398,-0.820792088,-1.049131398,-1.35170224,-1.35170224,-1.35170224,-1.35170224,-0.457851931,-0.457851931,-0.457851931,-1.35170224,-0.457851931,-1.35170224,-1.88950996,-1.35170224,-0.14798711,-0.628904218,-0.820792088,-1.049131398,-1.049131398,-1.049131398,-1.049131398,-1.049131398,-1.049131398,-1.88950996,-1.35170224,0,-0.29930691,1.35170224,1.88950996,1.35170224,0.628904218,1.88950996,0.820792088,1.049131398,1.35170224,0.820792088,1.35170224,1.049131398,0.628904218,0.457851931,0,1.88950996,1.88950996,0.820792088,1.88950996,1.88950996,1.88950996
ANDHRA PRADESH,KURNOOL,65,Chintakunta-GW,15.2,77.2,15.25,77.25,-1.35170224,-1.88950996,-1.88950996,-1.35170224,-1.049131398,-1.049131398,-1.049131398,-1.88950996,-1.35170224,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.35170224,-1.049131398,-0.29930691,-0.628904218,-0.457851931,-0.29930691,-0.628904218,-0.457851931,-1.049131398,-0.820792088,-0.820792088,-0.628904218,-0.820792088,-0.820792088,-1.049131398,-0.820792088,-0.820792088,-0.820792088,-1.049131398,-0.820792088,-1.35170224,-1.049131398,-1.049131398,-0.820792088,-0.628904218,-0.628904218,-0.457851931,-0.14798711,-0.29930691,-0.457851931,-0.457851931,-1.88950996,-0.628904218,0,-0.29930691,-0.457851931,-0.29930691,-0.14798711,1.049131398,0.457851931,0.14798711,0.29930691,0,-0.14798711,-0.29930691,-0.457851931,-0.457851931,0.29930691,0.29930691,0.14798711,0.820792088,1.88950996,1.35170224,1.35170224,1.35170224,1.35170224,1.35170224,0.820792088,0.820792088,1.35170224,1.88950996,1.35170224,1.88950996,1.35170224,1.88950996,1.049131398,1.049131398,1.049131398,1.049131398,1.35170224,1.049131398,1.049131398,1.35170224,0.820792088,0.29930691,0,-0.14798711,-0.14798711,-0.29930691,0.14798711,0,-0.14798711,0,0.14798711,0.457851931,0.29930691,0,0.29930691,0.457851931,0.457851931,0.14798711,0,0.14798711,-0.29930691,-0.14798711,-0.14798711,0,0.628904218,0.628904218,0.628904218,0.628904218,0,0.29930691,0.29930691,0.29930691,0.29930691,0.457851931,0.457851931,-0.14798711,1.049131398,1.35170224,1.049131398,0.820792088,0.820792088,0.457851931,0.457851931,0.457851931,0.14798711,0.14798711,0.820792088,0.820792088,0.457851931,-0.14798711,-0.29930691,0.29930691,0.14798711,-0.14798711,-0.628904218,-0.457851931,-0.628904218,-0.628904218,-0.29930691,-0.457851931,-0.29930691,-0.820792088,-0.457851931,-0.628904218,-0.628904218,-0.820792088,-0.29930691,-0.820792088,-1.35170224,-1.35170224,-1.049131398,-1.049131398,-1.35170224,-1.88950996,-1.88950996,-1.88950996,-1.35170224,0.820792088,0.820792088,0.820792088,0.457851931,0.628904218,0,0.628904218,0,-0.628904218,-1.35170224,-1.35170224,-1.88950996,-1.35170224,-1.049131398,-0.14798711,0.628904218,0.29930691,0.628904218,0.14798711,-0.457851931,0.14798711,0.820792088,1.049131398,0.628904218,0.628904218,0.628904218,0.628904218,1.049131398,1.35170224,1.88950996,1.049131398,1.88950996,0.457851931,0.14798711,0,1.88950996,1.88950996,1.88950996,1.88950996,1.88950996,1.88950996
ANDHRA PRADESH,KURNOOL,577,Polakal-1-GW,15.8,77.8,15.75,77.75,-1.35170224,-1.35170224,-1.35170224,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-1.88950996,-0.14798711,-0.628904218,-0.628904218,-0.820792088,-1.049131398,-1.049131398,-1.049131398,-1.049131398,-0.820792088,-0.820792088,-0.820792088,-0.820792088,-1.049131398,-1.049131398,-1.049131398,-1.35170224,-1.35170224,-1.35170224,-1.35170224,-1.35170224,-1.35170224,-0.29930691,1.049131398,0.457851931,0.820792088,0,0,0,-0.14798711,-0.14798711,0.14798711,0.457851931,0.29930691,0,-0.14798711,-0.457851931,0.14798711,0.29930691,0.457851931,0.29930691,0.457851931,0.457851931,0.29930691,0,-0.14798711,0.29930691,0.29930691,0,0.457851931,1.88950996,1.88950996,1.049131398,1.35170224,1.35170224,1.35170224,1.35170224,1.049131398,1.35170224,1.88950996,1.88950996,1.35170224,1.049131398,1.049131398,1.35170224,0.628904218,1.049131398,0.820792088,0.820792088,1.35170224,1.049131398,0.457851931,0.820792088,0.29930691,0.14798711,0.29930691,0.14798711,0.14798711,0.29930691,0,-0.14798711,0,0.14798711,0,-0.29930691,-0.457851931,-0.820792088,-0.14798711,-0.14798711,-0.29930691,-0.29930691,-0.29930691,-0.29930691,-0.29930691,-0.14798711,-0.29930691,0.14798711,1.049131398,0.628904218,0.820792088,0.820792088,1.88950996,1.88950996,1.88950996,1.88950996,1.88950996,1.88950996,1.35170224,0.628904218,1.88950996,1.35170224,1.35170224,1.88950996,1.049131398,0.820792088,1.049131398,1.049131398,0.820792088,0.820792088,0.628904218,0.29930691,0,0.457851931,0.14798711,-0.29930691,0,0,-0.14798711,0.29930691,0.457851931,0.628904218,0.820792088,1.35170224,0.628904218,0.820792088,0.628904218,0.628904218,0.820792088,0.628904218,0.628904218,0.628904218,0.14798711,0.457851931,0.14798711,-0.14798711,-0.29930691,-0.14798711,-0.29930691,-0.457851931,-0.628904218,-0.457851931,-0.628904218,-0.457851931,-0.457851931,-0.457851931,-0.457851931,-0.628904218,-0.820792088,-0.29930691,-0.457851931,-0.628904218,-0.820792088,-0.820792088,-0.457851931,-0.628904218,-0.628904218,-0.628904218,-0.628904218,-1.049131398,-0.628904218,-0.457851931,-0.820792088,-1.049131398,-0.457851931,-0.628904218,-0.820792088,-0.820792088,-1.049131398,-1.049131398,-1.049131398,1.049131398,-1.35170224,-1.35170224,-1.35170224,0.457851931,0.29930691,0.14798711,0.457851931,0.14798711,0.628904218
